# PREM (Dziewonski and Anderson, 1981) and QL6 (Durek and Ekstrom, 1996)  (without an ocean)
#Depth(m)	Radius(m)	Pressure(Pa)	Density(g/m^3)	Vp(m/s)		Vs(m/s)  	Qk  	   	Qmu
1.571000e+06	4.800000e+06	6.552020e+10	4.897830e+03	1.229316e+04	6.725480e+03	1.000000e+05	3.550000e+02
1.671000e+06	4.700000e+06	7.041190e+10	4.950730e+03	1.242075e+04	6.776060e+03	1.000000e+05	3.550000e+02
1.771000e+06	4.600000e+06	7.535980e+10	5.002990e+03	1.254466e+04	6.825120e+03	1.000000e+05	3.550000e+02
1.871000e+06	4.500000e+06	8.036600e+10	5.054690e+03	1.266550e+04	6.872890e+03	1.000000e+05	3.550000e+02
1.971000e+06	4.400000e+06	8.543320e+10	5.105900e+03	1.278389e+04	6.919570e+03	1.000000e+05	3.550000e+02
2.071000e+06	4.300000e+06	9.056460e+10	5.156690e+03	1.290045e+04	6.965380e+03	1.000000e+05	3.550000e+02
2.171000e+06	4.200000e+06	9.576410e+10	5.207130e+03	1.301579e+04	7.010530e+03	1.000000e+05	3.550000e+02
2.271000e+06	4.100000e+06	1.010363e+11	5.257290e+03	1.313055e+04	7.055250e+03	1.000000e+05	3.550000e+02
2.371000e+06	4.000000e+06	1.063864e+11	5.307240e+03	1.324532e+04	7.099740e+03	1.000000e+05	3.550000e+02
2.471000e+06	3.900000e+06	1.118207e+11	5.357060e+03	1.336074e+04	7.144230e+03	1.000000e+05	3.550000e+02
2.571000e+06	3.800000e+06	1.173465e+11	5.406810e+03	1.347742e+04	7.188920e+03	1.000000e+05	3.550000e+02
2.671000e+06	3.700000e+06	1.229719e+11	5.456570e+03	1.359597e+04	7.234030e+03	1.000000e+05	3.550000e+02
2.741000e+06	3.630000e+06	1.269741e+11	5.491450e+03	1.368041e+04	7.265970e+03	1.000000e+05	3.550000e+02
2.741000e+06	3.630000e+06	1.269742e+11	5.491450e+03	1.368041e+04	7.265970e+03	1.000000e+05	3.550000e+02
2.771000e+06	3.600000e+06	1.287067e+11	5.506420e+03	1.368753e+04	7.265750e+03	1.000000e+05	3.550000e+02
2.871000e+06	3.500000e+06	1.345619e+11	5.556410e+03	1.371168e+04	7.264860e+03	1.000000e+05	3.550000e+02
2.891000e+06	3.480000e+06	1.357509e+11	5.566450e+03	1.371660e+04	7.264660e+03	1.000000e+05	2.662500e+02
2.891000e+06	3.480000e+06	1.357510e+11	9.903490e+03	8.064820e+03	0.000000e+00	1.000000e+05	2.662500e+02
2.971000e+06	3.400000e+06	1.441941e+11	1.002940e+04	8.199390e+03	0.000000e+00	1.000000e+05	0.000000e+00
3.071000e+06	3.300000e+06	1.546982e+11	1.018134e+04	8.360190e+03	0.000000e+00	1.000000e+05	0.000000e+00
3.171000e+06	3.200000e+06	1.651209e+11	1.032726e+04	8.512980e+03	0.000000e+00	1.000000e+05	0.000000e+00
3.271000e+06	3.100000e+06	1.754418e+11	1.046727e+04	8.658050e+03	0.000000e+00	1.000000e+05	0.000000e+00
3.371000e+06	3.000000e+06	1.856409e+11	1.060152e+04	8.795730e+03	0.000000e+00	1.000000e+05	0.000000e+00
3.471000e+06	2.900000e+06	1.956991e+11	1.073012e+04	8.926320e+03	0.000000e+00	1.000000e+05	0.000000e+00
3.571000e+06	2.800000e+06	2.055978e+11	1.085321e+04	9.050150e+03	0.000000e+00	1.000000e+05	0.000000e+00
3.671000e+06	2.700000e+06	2.153189e+11	1.097091e+04	9.167520e+03	0.000000e+00	1.000000e+05	0.000000e+00
3.771000e+06	2.600000e+06	2.248453e+11	1.108335e+04	9.278760e+03	0.000000e+00	1.000000e+05	0.000000e+00
3.871000e+06	2.500000e+06	2.341603e+11	1.119067e+04	9.384180e+03	0.000000e+00	1.000000e+05	0.000000e+00
3.971000e+06	2.400000e+06	2.432484e+11	1.129298e+04	9.484090e+03	0.000000e+00	1.000000e+05	0.000000e+00
4.071000e+06	2.300000e+06	2.520942e+11	1.139042e+04	9.578810e+03	0.000000e+00	1.000000e+05	0.000000e+00
4.171000e+06	2.200000e+06	2.606838e+11	1.148311e+04	9.668650e+03	0.000000e+00	1.000000e+05	0.000000e+00
4.271000e+06	2.100000e+06	2.690035e+11	1.157119e+04	9.753930e+03	0.000000e+00	1.000000e+05	0.000000e+00
4.371000e+06	2.000000e+06	2.770407e+11	1.165478e+04	9.834960e+03	0.000000e+00	1.000000e+05	0.000000e+00
4.471000e+06	1.900000e+06	2.847839e+11	1.173401e+04	9.912060e+03	0.000000e+00	1.000000e+05	0.000000e+00
4.571000e+06	1.800000e+06	2.922221e+11	1.180900e+04	9.985540e+03	0.000000e+00	1.000000e+05	0.000000e+00
4.671000e+06	1.700000e+06	2.993457e+11	1.187990e+04	1.005572e+04	0.000000e+00	1.000000e+05	0.000000e+00
4.771000e+06	1.600000e+06	3.061461e+11	1.194682e+04	1.012291e+04	0.000000e+00	1.000000e+05	0.000000e+00
4.871000e+06	1.500000e+06	3.126159e+11	1.200989e+04	1.018743e+04	0.000000e+00	1.000000e+05	0.000000e+00
4.971000e+06	1.400000e+06	3.187493e+11	1.206924e+04	1.024959e+04	0.000000e+00	1.000000e+05	0.000000e+00
5.071000e+06	1.300000e+06	3.245423e+11	1.212500e+04	1.030971e+04	0.000000e+00	1.000000e+05	0.000000e+00
5.149500e+06	1.221500e+06	3.288502e+11	1.216634e+04	1.035568e+04	0.000000e+00	1.000000e+05	0.000000e+00
5.149500e+06	1.221500e+06	3.288513e+11	1.276360e+04	1.102827e+04	3.504320e+03	1.000000e+05	0.000000e+00
5.171000e+06	1.200000e+06	3.300480e+11	1.277493e+04	1.103643e+04	3.510020e+03	1.000000e+05	1.040000e+02
5.271000e+06	1.100000e+06	3.353596e+11	1.282501e+04	1.107249e+04	3.535220e+03	1.000000e+05	1.040000e+02
5.371000e+06	1.000000e+06	3.402383e+11	1.287073e+04	1.110542e+04	3.558230e+03	1.000000e+05	1.040000e+02
5.471000e+06	9.000000e+05	3.446764e+11	1.291211e+04	1.113521e+04	3.579050e+03	1.000000e+05	1.040000e+02
5.571000e+06	8.000000e+05	3.486665e+11	1.294912e+04	1.116186e+04	3.597670e+03	1.000000e+05	1.040000e+02
5.671000e+06	7.000000e+05	3.522024e+11	1.298178e+04	1.118538e+04	3.614110e+03	1.000000e+05	1.040000e+02
5.771000e+06	6.000000e+05	3.552783e+11	1.301009e+04	1.120576e+04	3.628350e+03	1.000000e+05	1.040000e+02
5.871000e+06	5.000000e+05	3.578894e+11	1.303404e+04	1.122301e+04	3.640410e+03	1.000000e+05	1.040000e+02
5.971000e+06	4.000000e+05	3.600315e+11	1.305364e+04	1.123712e+04	3.650270e+03	1.000000e+05	1.040000e+02
6.071000e+06	3.000000e+05	3.617011e+11	1.306888e+04	1.124809e+04	3.657940e+03	1.000000e+05	1.040000e+02
6.171000e+06	2.000000e+05	3.628956e+11	1.307977e+04	1.125593e+04	3.663420e+03	1.000000e+05	1.040000e+02
6.271000e+06	1.000000e+05	3.636131e+11	1.308630e+04	1.126064e+04	3.666700e+03	1.000000e+05	1.040000e+02
6.371000e+06	0.000000e+00	3.638500e+11	1.308848e+04	1.126620e+04	3.667800e+03	1.000000e+05	1.040000e+02
